,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
1984-01-01,72.0,66.5,62.4,72.6,67.8,60.9,69.7,67.1,68.8,66.9,67.8,70.4,68.0,53.7,63.4,65.2,61.9,69.3,71.1,65.7,70.1,63.6,73.7,69.9,67.7,62.5,64.7,69.1,71.0,67.6,68.8,50.7,70.1,70.2,74.1,51.1,58.9,57.6,72.7,65.9,72.3,69.5,66.4,72.7,69.9,69.6,61.7,68.3,37.3,71.3,65.2
1985-01-01,75.9,67.2,60.6,70.0,65.6,61.4,71.0,65.5,68.0,69.5,69.0,70.3,68.2,54.2,62.3,63.8,61.5,68.5,71.6,66.8,70.2,62.7,70.4,71.5,67.9,60.5,63.6,72.0,70.5,67.6,73.2,51.0,69.9,68.5,73.7,50.3,57.0,61.2,70.7,66.6,69.6,69.2,66.5,68.3,67.6,67.6,60.5,68.5,37.4,69.9,64.7
1986-01-01,76.4,66.5,60.9,68.0,62.8,62.2,69.8,64.8,68.2,69.8,68.1,71.0,67.8,53.8,63.3,66.5,63.9,68.3,72.3,65.1,70.4,62.4,70.3,68.0,68.2,61.0,63.7,70.3,69.7,67.4,72.0,50.9,69.2,68.1,74.0,51.3,54.5,61.5,70.9,67.5,70.4,67.8,64.4,66.4,67.6,65.9,60.3,68.2,34.6,69.2,62.5
1987-01-01,72.5,66.3,61.0,68.9,62.7,60.4,71.6,66.4,68.4,70.5,67.0,71.1,67.2,54.3,64.0,68.2,64.6,66.8,71.8,64.4,71.0,63.9,67.9,69.0,68.6,61.1,61.8,72.8,70.9,67.2,68.9,50.7,68.9,67.6,73.2,52.0,54.1,59.7,71.7,68.1,72.5,66.1,65.0,67.9,69.1,66.8,60.6,69.0,35.8,67.7,63.3
1988-01-01,73.2,64.9,61.4,69.1,63.5,62.0,71.5,67.9,68.3,68.7,66.5,70.1,65.4,54.4,64.8,68.0,64.0,66.6,72.1,64.2,68.5,64.8,66.5,70.2,69.6,59.9,60.1,73.8,72.1,66.9,67.8,53.2,67.7,65.4,72.2,50.7,54.3,57.0,72.5,67.0,73.7,64.8,65.4,68.6,68.3,66.4,60.0,69.8,37.5,68.3,66.1
1989-01-01,74.8,64.4,61.9,68.3,65.5,61.2,70.2,67.0,69.4,69.7,66.4,68.7,65.5,53.6,65.7,69.3,63.4,67.2,72.8,64.2,66.3,64.7,67.6,70.4,69.6,61.0,58.6,71.0,71.4,67.3,69.6,54.7,67.1,64.9,73.6,52.3,54.3,58.7,73.2,66.3,72.2,63.7,67.9,68.1,68.2,65.8,58.9,70.2,38.7,69.6,63.9
1990-01-01,72.0,65.1,63.0,68.0,64.9,58.5,69.4,65.0,69.0,72.6,67.9,67.7,68.6,53.8,65.0,68.3,64.4,67.3,73.8,61.8,67.8,64.3,68.4,70.1,68.7,59.7,59.0,71.4,70.3,68.3,68.9,55.5,67.2,65.8,74.2,53.3,55.8,58.4,72.3,67.8,69.4,64.0,69.1,69.0,67.0,66.2,58.6,69.8,36.4,70.7,64.5
1991-01-01,72.4,66.1,63.0,68.9,63.8,58.2,68.4,66.8,69.3,70.8,65.5,70.2,69.5,54.5,64.8,68.9,65.2,67.5,74.0,61.8,68.9,65.7,69.9,70.7,68.7,59.0,59.8,73.1,69.2,68.0,68.7,55.2,65.4,67.2,72.0,52.6,55.8,57.1,70.6,68.6,71.8,64.2,69.6,69.7,66.1,66.1,60.2,68.9,35.1,68.4,66.3
1992-01-01,73.3,66.0,62.4,66.7,64.8,56.8,70.3,66.6,68.6,70.8,66.1,73.8,70.5,55.3,64.6,69.4,64.3,68.4,73.1,62.5,66.7,66.9,70.3,70.0,69.1,58.3,60.9,71.0,68.9,67.4,67.9,53.8,63.7,69.0,72.0,53.3,55.1,55.5,70.6,70.3,70.4,65.2,69.9,69.8,67.6,66.5,61.8,67.8,35.0,66.3,69.3
1993-01-01,73.3,65.5,61.8,65.8,65.5,57.6,72.1,65.4,68.8,68.5,64.5,74.1,69.1,56.0,64.5,65.7,63.8,67.7,72.0,63.1,65.4,66.5,70.2,68.9,68.5,58.7,61.8,71.1,70.3,64.1,67.1,52.8,62.7,68.76,71.9,52.8,55.8,55.4,72.3,70.5,69.7,66.4,69.7,68.9,68.7,65.6,60.7,68.5,35.7,68.2,69.1
1994-01-01,73.7,65.7,64.2,68.9,64.1,56.5,70.7,65.1,68.7,69.4,63.8,70.5,66.8,55.5,64.1,64.2,63.9,68.0,71.8,62.4,65.8,63.4,68.5,69.3,67.4,59.7,62.9,72.0,68.5,65.2,65.8,52.3,63.3,70.6,72.6,52.5,55.8,58.8,72.0,68.1,69.2,68.4,68.8,69.0,68.4,66.4,60.6,69.3,37.8,70.1,67.7
1995-01-01,73.1,66.6,66.4,73.3,65.8,57.9,72.0,66.0,70.1,70.4,68.2,71.7,67.0,55.4,64.9,67.5,63.2,67.1,71.5,61.6,65.3,66.6,70.1,71.5,67.9,61.4,64.6,71.3,69.8,67.0,69.0,50.2,67.3,71.2,76.7,52.7,58.6,60.9,72.2,67.2,71.1,69.4,68.7,67.5,71.0,67.5,60.2,68.1,39.2,71.4,62.9
1996-01-01,74.3,67.1,68.2,75.4,66.9,56.6,71.4,65.0,70.4,70.3,69.0,71.5,67.1,55.0,64.6,68.2,63.1,66.8,71.7,63.1,64.9,69.3,71.0,72.7,69.2,61.8,64.5,72.9,68.4,68.8,68.0,50.6,68.2,73.2,76.5,52.7,61.1,62.9,73.3,66.6,73.0,70.2,68.6,67.5,74.2,67.8,61.7,68.5,40.4,72.8,62.0
1997-01-01,74.6,66.9,68.1,75.4,70.5,58.7,72.3,66.8,70.2,69.1,68.1,69.2,69.6,55.7,63.1,68.3,61.0,66.7,73.3,62.9,66.4,70.9,71.3,72.5,69.0,61.5,64.1,74.1,68.5,70.2,67.6,50.2,68.1,75.0,74.9,52.6,61.2,67.2,73.3,66.7,73.7,70.5,67.5,66.5,74.1,67.6,62.3,68.4,42.5,72.7,63.0
1998-01-01,74.8,66.9,68.0,75.4,68.7,59.8,72.6,69.6,71.3,69.1,69.3,71.0,71.3,56.0,63.1,70.1,63.4,69.9,73.9,64.9,66.6,71.2,72.9,73.7,70.7,62.5,65.2,76.6,69.7,71.3,70.0,52.8,68.0,75.1,74.6,52.8,61.4,66.3,74.4,66.7,75.1,70.7,68.6,66.7,72.6,67.3,61.3,69.4,40.3,72.1,64.3
1999-01-01,74.8,67.6,67.1,76.1,69.6,60.6,70.3,70.2,71.7,69.1,69.1,71.6,72.6,55.7,64.5,70.9,64.3,70.9,75.2,64.8,66.8,71.3,74.8,74.7,70.7,62.9,68.1,77.1,71.5,71.9,69.8,56.6,70.1,73.9,77.4,52.8,63.7,66.4,76.5,65.6,74.9,72.9,70.6,67.5,72.9,70.7,60.3,71.2,40.0,73.9,66.3
2000-01-01,75.9,68.4,67.9,76.1,69.9,61.5,70.5,69.2,71.1,68.7,70.0,72.0,73.7,57.1,66.2,71.8,65.3,70.2,74.7,63.6,68.1,69.8,73.2,72.7,71.3,63.8,68.3,76.5,72.7,70.9,71.0,55.2,70.7,73.4,76.5,53.4,64.0,66.4,77.2,68.9,75.2,74.2,70.2,69.3,74.9,71.2,59.9,73.9,41.9,75.2,68.0
2001-01-01,76.4,69.2,69.4,76.1,70.7,60.1,71.7,68.4,71.3,69.8,71.8,75.4,70.8,58.2,66.5,72.3,65.8,70.1,74.3,66.4,67.1,70.1,73.2,72.4,71.2,63.9,68.5,76.1,71.5,69.7,73.5,55.5,71.0,73.9,75.5,53.9,64.6,65.3,77.1,71.2,74.5,74.0,68.3,70.4,75.3,71.5,60.6,75.1,42.7,76.6,68.1
2002-01-01,77.2,68.7,70.1,77.3,72.0,59.4,73.0,69.5,70.0,70.3,71.5,75.6,70.0,57.7,66.9,72.2,66.2,68.5,74.0,66.9,67.4,71.8,73.7,72.8,72.1,63.4,68.9,77.5,69.6,70.3,73.0,57.9,69.4,73.7,74.0,54.8,65.3,67.1,76.0,70.3,74.9,74.8,69.4,70.3,75.1,71.5,62.6,74.4,44.1,73.9,65.6
2003-01-01,78.1,69.5,70.7,77.2,71.6,59.9,74.4,74.4,70.0,71.4,73.0,77.2,70.3,58.9,66.9,72.8,68.0,69.5,73.7,65.9,67.5,71.4,76.2,73.4,72.8,64.5,71.3,75.0,69.1,70.8,72.9,58.3,68.7,74.4,73.7,54.3,64.8,70.0,75.6,69.6,73.4,74.0,71.5,70.3,74.4,70.9,64.3,75.0,43.0,73.4,67.0
2004-01-01,80.3,72.2,72.7,76.4,72.1,61.5,73.7,73.3,69.8,72.0,71.7,77.3,71.5,59.7,68.8,73.3,69.0,71.2,74.9,66.0,70.6,70.9,78.0,74.9,73.1,65.5,71.1,76.2,71.1,71.6,72.8,60.6,70.0,73.3,74.7,54.8,65.7,67.2,77.1,69.1,74.0,72.4,72.4,69.9,75.8,68.5,63.8,73.4,45.6,73.2,68.7
2005-01-01,81.3,72.4,70.9,76.5,71.2,63.1,74.2,74.0,70.9,74.2,70.5,75.8,71.4,59.7,70.1,71.1,68.2,70.2,73.3,67.6,72.5,67.9,76.6,73.9,73.3,65.9,71.0,73.9,72.9,72.4,72.8,59.8,68.5,71.6,73.9,55.9,63.4,66.0,76.4,69.2,78.8,72.3,70.4,69.5,75.0,68.4,63.4,71.2,45.8,73.9,71.1
2006-01-01,78.4,72.4,70.4,75.6,72.6,64.6,75.1,74.2,70.2,74.0,71.1,76.8,72.0,60.2,69.0,70.2,68.1,67.6,73.2,66.7,71.3,68.5,74.2,73.5,72.1,66.0,70.1,74.2,71.6,71.3,73.7,59.9,68.3,71.7,75.3,55.7,65.7,67.2,77.4,70.8,76.2,71.9,69.5,70.0,74.2,70.6,65.2,71.1,45.9,74.0,71.6
2007-01-01,77.6,71.8,69.4,73.5,71.7,64.9,74.5,73.8,70.3,73.7,70.3,76.8,71.5,58.3,68.3,70.5,65.7,68.2,72.9,66.8,71.5,67.6,73.3,74.9,71.4,66.0,70.2,74.1,70.3,70.2,73.2,60.1,66.0,72.9,74.3,55.9,63.3,66.6,76.4,69.5,74.0,70.4,67.3,69.4,73.8,70.4,64.3,71.5,47.2,73.7,70.4
2008-01-01,77.8,71.1,68.9,73.1,70.6,64.5,75.0,75.0,69.4,72.8,70.7,76.2,70.4,57.5,67.3,70.4,66.2,69.6,72.6,66.2,73.5,68.2,73.0,76.2,70.8,65.5,69.0,73.9,70.4,71.7,73.3,59.1,66.6,72.8,73.9,55.0,63.6,66.4,75.9,68.9,75.4,71.4,70.3,68.8,74.4,70.4,65.7,70.6,44.1,74.0,69.1
2009-01-01,78.7,70.9,69.1,72.9,69.6,62.9,75.5,76.0,70.1,74.3,70.5,76.5,69.1,57.0,65.9,70.4,68.2,70.2,72.2,65.5,71.9,67.4,74.1,74.1,69.7,65.4,68.4,74.4,69.6,71.1,73.8,59.5,65.7,71.2,74.0,54.4,62.4,66.8,74.5,68.5,75.5,72.0,70.7,67.4,72.0,69.6,65.1,69.7,44.9,72.4,68.9
2010-01-01,79.0,69.3,68.8,72.6,68.9,62.8,72.4,74.9,69.5,73.6,70.8,74.7,68.6,56.1,66.5,71.0,66.3,70.4,72.2,64.4,70.4,67.1,73.2,72.5,69.7,65.3,68.5,74.8,69.2,71.0,73.4,56.1,67.1,70.3,73.8,54.5,59.7,65.7,74.5,67.9,74.8,71.2,68.1,67.4,71.2,70.6,65.3,68.7,45.6,71.1,66.6
2011-01-01,78.7,69.0,68.4,71.3,69.7,63.4,72.4,74.1,68.3,74.6,70.6,74.2,69.1,55.3,66.4,68.5,66.4,68.9,71.1,64.2,70.1,66.2,72.9,71.4,68.9,64.3,65.9,74.2,69.4,69.3,71.1,55.4,68.3,69.1,73.9,53.6,56.2,64.4,74.1,67.6,74.8,71.1,68.4,65.4,72.1,69.3,65.3,67.9,44.8,71.2,66.0
2012-01-01,75.8,67.0,66.8,72.0,68.5,62.1,73.0,74.8,67.2,73.4,68.8,73.4,66.8,54.5,66.6,67.5,66.1,69.3,71.0,63.5,68.7,64.3,71.9,71.1,67.9,64.3,65.3,71.5,68.8,67.9,70.3,57.2,66.2,68.7,74.1,53.6,55.7,63.7,74.8,66.0,74.2,70.8,67.8,63.2,72.1,69.2,65.8,67.8,45.0,70.2,65.3
2013-01-01,76.8,66.1,67.2,73.4,66.9,61.5,71.5,74.1,67.3,73.0,68.5,74.1,67.3,54.3,64.9,68.5,64.2,68.2,71.5,62.7,67.8,64.2,72.7,70.9,67.9,63.3,64.4,72.4,69.9,66.8,70.5,57.3,68.0,67.5,73.5,53.0,56.0,64.6,73.9,65.4,74.2,71.3,67.4,63.5,71.7,67.8,65.3,68.1,44.6,69.8,65.1
2014-01-01,75.6,64.9,66.4,71.4,66.2,61.8,69.6,72.2,66.4,73.5,67.4,74.3,66.3,54.2,65.2,67.8,62.8,66.7,69.7,63.6,65.3,62.9,72.1,70.9,67.3,62.2,65.0,72.9,69.3,66.7,70.8,58.4,64.5,67.6,71.0,52.9,56.0,64.9,73.8,65.4,73.2,70.5,66.9,64.7,70.1,69.2,63.0,68.7,41.5,69.4,63.5
2015-01-01,74.9,64.8,65.4,70.1,67.1,58.9,70.0,71.6,65.2,71.8,66.5,73.3,66.5,54.3,64.0,66.6,61.1,68.1,69.6,62.6,63.3,62.9,70.0,69.9,66.4,61.9,63.6,67.1,67.4,66.5,69.9,59.3,61.8,67.9,69.9,51.5,54.8,62.3,74.6,67.1,70.7,68.5,66.4,64.9,69.4,70.1,60.5,67.1,40.4,68.8,61.7
2016-01-01,74.8,64.3,65.3,72.4,66.5,56.3,70.5,71.8,65.7,71.3,64.2,73.0,67.4,53.8,62.2,67.7,62.6,68.0,68.5,61.6,64.2,62.3,69.7,71.3,66.1,61.5,62.4,68.9,66.8,66.4,70.2,57.7,61.4,67.9,72.6,51.5,54.5,65.2,72.8,67.6,69.7,66.7,67.1,67.1,70.9,69.4,59.7,66.3,40.8,70.0,61.9
2017-01-01,75.1,64.1,65.4,72.7,66.9,56.6,69.9,71.6,66.3,71.1,66.1,70.0,66.6,54.4,64.1,68.0,61.8,66.1,68.6,63.6,66.1,62.8,70.0,71.0,66.0,61.7,63.7,72.8,68.9,67.2,70.4,55.9,62.6,70.1,71.0,51.1,55.0,65.5,72.9,65.0,71.0,67.6,67.6,66.0,70.0,67.8,60.0,67.5,40.3,70.0,64.4
2018-01-01,74.7,65.5,66.0,69.8,66.6,60.7,69.2,73.4,65.2,71.4,65.3,70.8,68.0,55.1,65.0,67.9,62.0,66.4,69.9,64.9,65.7,63.8,70.3,72.2,67.3,62.7,64.4,72.0,69.5,68.0,71.1,59.5,61.9,69.8,71.2,51.0,57.8,63.7,73.0,64.7,72.5,69.7,67.4,67.3,69.8,69.1,61.5,66.0,39.9,68.9,65.7
2019-01-01,75.6,66.0,65.1,71.4,68.8,63.8,70.6,75.0,65.1,70.9,64.3,73.1,67.4,54.8,65.0,66.1,62.4,68.2,69.2,63.8,65.6,64.4,70.7,71.9,68.2,62.4,64.7,72.6,68.8,68.8,71.3,60.0,61.4,69.5,73.8,52.0,58.2,62.6,73.0,65.3,72.7,69.1,68.7,69.2,69.5,69.5,61.3,67.6,40.2,69.5,65.8
2020-01-01,78.2,68.7,67.3,74.5,72.0,64.5,71.5,74.5,68.7,73.1,66.9,77.9,70.3,55.9,64.3,67.9,65.2,69.8,69.9,64.1,69.1,67.3,74.8,71.7,69.4,66.5,64.9,73.6,71.0,70.0,73.9,58.8,64.2,72.5,77.1,53.6,61.2,64.1,74.3,68.8,74.2,71.1,68.4,69.5,72.7,71.4,62.7,70.4,42.5,72.1,68.7
2021-01-01,79.0,67.2,68.3,75.6,69.7,62.8,71.0,74.0,65.8,73.9,66.1,73.5,69.0,54.2,62.7,68.3,65.8,68.4,70.2,63.4,68.9,64.0,73.4,68.8,67.4,64.1,65.9,73.2,67.0,67.7,72.1,58.1,63.5,72.1,75.9,53.6,60.5,64.0,73.0,66.1,71.3,72.8,68.1,69.3,73.0,71.1,62.0,68.0,42.3,72.1,65.2
2022-01-01,78.6,67.3,66.7,75.1,71.8,65.8,71.3,74.6,65.9,72.7,64.8,74.9,71.1,55.3,64.2,70.0,64.9,69.0,70.7,66.6,69.6,64.7,72.1,71.2,66.0,63.6,67.4,74.7,68.5,67.3,75.3,59.2,65.4,71.4,74.9,53.9,60.3,65.1,74.0,66.8,73.1,70.6,68.3,69.0,72.6,70.8,61.2,67.4,42.3,73.8,68.1
2023-01-01,77.0,67.3,67.8,74.0,71.6,64.4,71.0,74.3,66.9,73.7,68.2,75.7,70.3,55.8,62.7,69.2,64.1,68.4,71.0,66.3,67.3,65.5,73.8,70.3,66.6,63.6,67.2,73.0,68.0,68.9,74.5,61.8,65.7,69.4,75.5,53.3,61.2,64.3,74.1,65.9,75.5,68.7,71.0,68.5,73.3,69.3,61.9,69.1,40.2,71.8,69.7
